JCODE,CITY1,PREF,人口,面積,人口密度
31201,鳥取市,鳥取県,193908,765.66,253.256014418933
31202,米子市,鳥取県,150313,132.21,1136.92610241283
31203,倉吉市,鳥取県,49729,272.15,182.726437626309
31204,境港市,鳥取県,35914,28.82,1246.14850798057
31302,岩美町,鳥取県,12417,122.38,101.462657296944
31325,若桜町,鳥取県,3704,199.31,18.5841151974311
31328,智頭町,鳥取県,7792,224.61,34.6912425982815
31329,八頭町,鳥取県,18446,206.71,89.2361279086643
31364,三朝町,鳥取県,7020,233.46,30.0693909020817
31370,湯梨浜町,鳥取県,17501,77.95,224.515715202053
31371,琴浦町,鳥取県,18638,139.94,133.185650993283
31372,北栄町,鳥取県,15718,57.15,275.030621172353
31384,日吉津村,鳥取県,3460,4.16,831.730769230769
31386,大山町,鳥取県,17408,189.77,91.7320967486958
31389,南部町,鳥取県,11491,114.03,100.771726738578
31390,伯耆町,鳥取県,11418,139.45,81.8788096091789
31401,日南町,鳥取県,5345,340.87,15.6804646932848
31402,日野町,鳥取県,3551,134.02,26.4960453663632
31403,江府町,鳥取県,3294,124.66,26.4238729343815